,Title,Useable Battery,0 - 100,Top Speed,Range,Efficiency,Fastcharge,Price in Germany,Price in Netherlands,Price in UK
291,CUPRA Born 170 kW - 77 kWh,77 kwh,7.0 sec,160 km/h,450 km,171 Wh/km,630 km/h,"€46,450","€51,990","£41,975"
292,CUPRA Born 170 kW - 58 kWh,58 kwh,6.6 sec,160 km/h,345 km,168 Wh/km,460 km/h,"€40,750","€47,490","£39,205"
293,CUPRA Born 150 kW - 58 kWh,58 kwh,7.3 sec,160 km/h,350 km,166 Wh/km,470 km/h,"€39,370","€39,990","£36,475"
294,Toyota PROACE Verso L 75 kWh,68 kwh,13.1 sec,130 km/h,260 km,262 Wh/km,280 km/h,"€65,385","€77,445",N/A
295,Toyota PROACE Verso M 75 kWh,68 kwh,13.1 sec,130 km/h,265 km,257 Wh/km,290 km/h,"€64,530",N/A,N/A
296,Mercedes EQA 350 4MATIC,66.5 kwh,6.0 sec,160 km/h,350 km,190 Wh/km,500 km/h,"€56,424",N/A,"£54,510"
297,Mercedes EQA 300 4MATIC,66.5 kwh,7.7 sec,160 km/h,350 km,190 Wh/km,500 km/h,"€53,746",N/A,"£53,010"
298,Mercedes EQB 350 4MATIC,66.5 kwh,6.2 sec,160 km/h,340 km,196 Wh/km,490 km/h,"€58,197",N/A,"£56,810"
299,Audi Q4 Sportback e-tron 50 quattro,76.6 kwh,6.2 sec,180 km/h,400 km,192 Wh/km,570 km/h,"€59,900","€73,065","£58,510"
300,Audi Q4 e-tron 50 quattro,76.6 kwh,6.2 sec,180 km/h,385 km,199 Wh/km,550 km/h,"€57,900","€71,015","£57,010"
301,Audi Q4 e-tron 40,76.6 kwh,8.5 sec,160 km/h,405 km,189 Wh/km,630 km/h,"€51,900","€59,415","£50,630"
302,Volkswagen ID.4 Pure,52 kwh,10.9 sec,160 km/h,285 km,182 Wh/km,360 km/h,N/A,"€42,940","£38,845"
303,Mercedes EQS 580 4MATIC,107.8 kwh,4.3 sec,210 km/h,595 km,181 Wh/km,890 km/h,"€141,705","€173,825",N/A
304,Mercedes EQS 450+,107.8 kwh,6.2 sec,210 km/h,635 km,170 Wh/km,950 km/h,"€109,551","€109,090","£105,610"
305,Kia EV6 Long Range AWD,74 kwh,5.2 sec,185 km/h,400 km,185 Wh/km,1050 km/h,"€55,980","€57,995","£51,745"
306,Kia EV6 Long Range 2WD,74 kwh,7.3 sec,185 km/h,410 km,180 Wh/km,1070 km/h,"€51,990","€51,995","£45,245"
307,Kia EV6 Standard Range 2WD,54 kwh,8.5 sec,185 km/h,305 km,177 Wh/km,750 km/h,"€46,990","€45,995",N/A
308,Hyundai IONIQ 5 Standard Range 2WD,54 kwh,8.5 sec,185 km/h,295 km,183 Wh/km,720 km/h,"€43,900","€49,295","£43,445"
309,MG Marvel R Performance,70 kwh,4.9 sec,200 km/h,350 km,200 Wh/km,380 km/h,"€50,990","€52,485",N/A
310,MG MG5 Electric Long Range,57.4 kwh,7.7 sec,185 km/h,335 km,171 Wh/km,330 km/h,"€38,490","€38,885","£30,995"
311,BMW iX xDrive50,105.2 kwh,4.6 sec,200 km/h,505 km,208 Wh/km,680 km/h,"€100,100","€105,097","£102,755"
312,BMW iX xDrive40,71 kwh,6.1 sec,200 km/h,360 km,197 Wh/km,480 km/h,"€77,300","€84,998","£69,905"
313,Kia EV6 GT,74 kwh,3.5 sec,260 km/h,360 km,206 Wh/km,940 km/h,"€72,990","€69,295","£62,645"
314,Hyundai Kona Electric 64 kWh,64 kwh,7.9 sec,167 km/h,395 km,162 Wh/km,370 km/h,"€42,900",N/A,N/A
315,Hyundai Kona Electric 39 kWh,39.2 kwh,9.9 sec,155 km/h,250 km,157 Wh/km,220 km/h,"€36,400",N/A,N/A
316,Audi e-tron GT quattro,85 kwh,4.1 sec,245 km/h,420 km,202 Wh/km,1030 km/h,"€106,050","€111,115","£87,800"
317,Volkswagen ID.4 Pure Performance,52 kwh,9.0 sec,160 km/h,285 km,182 Wh/km,360 km/h,"€39,955","€45,390","£40,275"
318,Mini Cooper SE,28.9 kwh,7.3 sec,150 km/h,180 km,161 Wh/km,260 km/h,"€35,700","€38,690","£32,550"
319,Tesla Model X Plaid,95 kwh,2.6 sec,262 km/h,455 km,209 Wh/km,630 km/h,"€115,970","€115,993","* £120,000"
320,Tesla Model X Dual Motor,95 kwh,3.9 sec,250 km/h,475 km,200 Wh/km,660 km/h,"€100,970","€100,993","* £105,000"
321,Tesla Model S Plaid,95 kwh,2.1 sec,282 km/h,560 km,170 Wh/km,780 km/h,"€110,970","€110,993","* £100,000"
322,Tesla Model S Dual Motor,95 kwh,3.2 sec,250 km/h,575 km,165 Wh/km,800 km/h,"€95,970","€95,993","* £85,000"
323,Peugeot e-Traveller Long 75 kWh,68 kwh,14.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,"€60,430","€68,378",N/A
324,Peugeot e-Traveller Standard 75 kWh,68 kwh,14.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,"€59,640","€66,442",N/A
325,Peugeot e-Traveller Long 50 kWh,46.3 kwh,13.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,"€54,430","€59,364","£43,625"
326,Peugeot e-Traveller Standard 50 kWh,46.3 kwh,13.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,"€53,640","€57,428","£42,785"
327,Opel Zafira-e Life L 75 kWh,68 kwh,13.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,"€70,075","€68,134",N/A
328,Opel Zafira-e Life M 75 kWh,68 kwh,13.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,"€69,250","€66,198",N/A
329,Opel Zafira-e Life L 50 kWh,46.3 kwh,12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,"€64,075","€59,119","£43,575"
330,Opel Zafira-e Life M 50 kWh,46.3 kwh,12.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,"€63,250","€57,183","£42,735"
331,Citroen e-SpaceTourer XL 75 kWh,68 kwh,13.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,"€60,430","€68,033",N/A
332,Citroen e-SpaceTourer M 75 kWh,68 kwh,13.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,"€59,640","€66,097",N/A
333,Citroen e-SpaceTourer XL 50 kWh,46.3 kwh,12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,"€54,430","€59,019","£37,885"
334,Citroen e-SpaceTourer M 50 kWh,46.3 kwh,12.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,"€53,640","€57,083","£37,045"
335,Mercedes EQC 400 4MATIC,80 kwh,5.1 sec,180 km/h,370 km,216 Wh/km,440 km/h,"€66,069",N/A,N/A
336,Fiat 500e 3+1 42 kWh,37.3 kwh,9.0 sec,150 km/h,235 km,159 Wh/km,390 km/h,"€36,990","€35,490",N/A
337,Fiat 500e Hatchback 24 kWh,21.3 kwh,9.0 sec,135 km/h,135 km,158 Wh/km,230 km/h,"€30,990","€28,990","£28,195"
338,Lucid Air Pure AWD,92 kwh,4.2 sec,200 km/h,590 km,156 Wh/km,990 km/h,"€109,000","€115,000",N/A
339,Lucid Air Touring,92 kwh,3.2 sec,250 km/h,580 km,159 Wh/km,970 km/h,"€129,000","€134,000",N/A
340,Lucid Air Grand Touring,112 kwh,3.0 sec,270 km/h,665 km,168 Wh/km,840 km/h,"€159,000","€165,000",N/A
341,Mercedes EQV 300 Extra-Long,90 kwh,12.1 sec,160 km/h,310 km,290 Wh/km,310 km/h,"€72,519","€84,809",N/A
342,Volkswagen ID.4 Pro Performance,77 kwh,8.5 sec,160 km/h,410 km,188 Wh/km,630 km/h,"€46,335","€53,690","£46,035"
343,Nissan Ariya e-4ORCE 87kWh - 290 kW,87 kwh,5.1 sec,200 km/h,405 km,215 Wh/km,480 km/h,"€71,490","€71,990",N/A
344,Nissan Ariya e-4ORCE 87kWh - 225 kW,87 kwh,5.7 sec,200 km/h,405 km,215 Wh/km,480 km/h,"€61,990","€61,990","£50,845"
345,Nissan Ariya 87kWh,87 kwh,7.6 sec,160 km/h,450 km,193 Wh/km,540 km/h,"€58,990","€54,990","£44,645"
346,Nissan Ariya 63kWh,63 kwh,7.5 sec,160 km/h,335 km,188 Wh/km,450 km/h,"€47,490","€47,990","£39,645"
347,Audi Q4 Sportback e-tron 35,52 kwh,9.0 sec,160 km/h,295 km,176 Wh/km,370 km/h,N/A,"€54,155",N/A
348,Fiat 500e Hatchback 42 kWh,37.3 kwh,9.0 sec,150 km/h,235 km,159 Wh/km,390 km/h,"€34,990","€34,490","£31,195"
349,Skoda Enyaq iV RS,77 kwh,6.2 sec,180 km/h,420 km,183 Wh/km,580 km/h,"€63,300",N/A,"£52,670"
350,Skoda Enyaq iV 80x,77 kwh,6.9 sec,160 km/h,425 km,181 Wh/km,590 km/h,N/A,N/A,"£50,805"
351,Skoda Enyaq iV 80,77 kwh,8.6 sec,160 km/h,440 km,175 Wh/km,680 km/h,"€48,900","€48,990","£42,925"
352,Skoda Enyaq iV 60,58 kwh,8.7 sec,160 km/h,340 km,171 Wh/km,460 km/h,N/A,"€44,990","£38,970"
353,Fiat 500e Cabrio 42 kWh,37.3 kwh,9.0 sec,150 km/h,230 km,162 Wh/km,380 km/h,"€37,990","€37,490","£34,195"
354,Renault Twingo Electric,21.3 kwh,12.6 sec,135 km/h,135 km,158 Wh/km,-,"€28,000","€24,190",N/A
355,BMW i4 eDrive40,80.7 kwh,5.7 sec,190 km/h,515 km,157 Wh/km,800 km/h,"€59,200","€62,992","£57,890"
356,Mercedes EQV 300 Long,90 kwh,12.1 sec,160 km/h,310 km,290 Wh/km,310 km/h,"€71,626","€83,617","£87,995"
357,Honda e Advance,28.5 kwh,8.3 sec,145 km/h,170 km,168 Wh/km,180 km/h,"€39,900","€40,615","£37,395"
358,Renault Zoe ZE50 R135,52 kwh,9.5 sec,140 km/h,310 km,168 Wh/km,230 km/h,"€37,840","€36,195","£29,995"
359,Skoda Enyaq iV 50,52 kwh,11.3 sec,160 km/h,305 km,170 Wh/km,250 km/h,"€39,900",N/A,N/A
360,Tesla Model Y Performance,75 kwh,3.7 sec,250 km/h,415 km,181 Wh/km,640 km/h,"€63,667","€60,993","£59,990"
361,Audi Q4 e-tron 35,52 kwh,9.0 sec,160 km/h,285 km,182 Wh/km,360 km/h,N/A,"€52,105",N/A
362,Renault Zoe ZE50 R110,52 kwh,11.4 sec,135 km/h,315 km,165 Wh/km,230 km/h,"€36,840","€34,895",N/A
363,Audi e-tron GT RS,85 kwh,3.3 sec,250 km/h,405 km,210 Wh/km,1000 km/h,"€146,050","€154,835","£119,000"
364,Lucid Air Dream Edition P,118 kwh,2.7 sec,270 km/h,665 km,177 Wh/km,840 km/h,"€218,000","€222,000",N/A
